标题,年份,类型,媒体类型,个人评分,观影日期,简介,封面,背景图,演员
好久不见,2018,,tv,6.5,2026-03-13,该剧以都市生活为背景，讲述了家境一般的花朵朵与富家大少贺言误打误撞相识，从水火不容到共同创业彼此许诺的故事。该剧于2018年3月26日在北京卫视、东方卫视首播，并在爱奇艺、腾讯视频、优酷同步播出。,https://images.tmdb.org/t/p/w342/nnU4nfadB0I6lpdcEDNxNAxlVTG.jpg,https://images.tmdb.org/t/p/w780/xLmUvramMwakXviQCPfJOXDJHG0.jpg,杨子姗;郑恺;张国立;江珊;逯恣祯;田雷;钟楚曦;周宸佳;王森;王建新
临时演员,2017,,movie,7.5,2026-03-11,梁丹妮（热依扎 饰）是演艺圈里冉冉升起的一颗新星，有着持续升温的人气和无量的前途。然而，一场意外的发生让狗仔记者们拍到了她和一个名为李非凡（郑恺 饰）的男子在旅店的亲密照，虽然这一切只是一场误会，但一切澄清和洗白都为时已晚。  　　实际上，梁丹妮已经有了一位交往已久的男友—— 地产富商石非凡（郭晓冬 饰），为了挽回女友的声誉，石非凡扎到了李非凡，给了后者巨额报酬，要求他成为梁丹妮的“临时男友”，经受不住巨大利益的诱惑，李非凡沦陷了。一边是养尊处优的女明星，一边是低眉顺眼的代驾小哥，这一对性格和身份迥异的男女凑到一起，闹出了无数的矛盾和笑料。,https://images.tmdb.org/t/p/w342/4Y6qaiZoNnCX2r9VmbRqMqmZa8j.jpg,https://images.tmdb.org/t/p/w780/pzG8u7Yb1JUyQpZBMLIfbcvTG4i.jpg,郑恺;热依扎;郭晓东;殷桃;林雪;林保怡
萨利机长,2016,,movie,9,2026-03-11,2009年1月15日，萨利（汤姆·汉克斯）在全美航空1549号班担任机长，飞机起飞两分钟后遭到飞鸟攻击，两架发动机全部熄火，萨利决定在哈德逊河上迫降，155人全数生还。但之后的调查显示他做了错误的抉择，认为大可选择返回拉瓜地亚机场。机内到底发生了什么呢？,https://images.tmdb.org/t/p/w342/h0EXy3NqR3q5rkHFIDTpDqtfgET.jpg,https://images.tmdb.org/t/p/w780/oQ024BtJgArg8WI4zfuc2vkCJno.jpg,汤姆·汉克斯;艾伦·艾克哈特;安娜·冈;霍特·麦克卡兰尼;迈克·奥麦利;杰米·谢尔丹;维勒莉·玛哈菲;Delphi Harrington;艾哈迈德·卢坎;劳拉·琳妮
壮志高飞,2021,,tv,8,2026-03-10,仲夏航空副驾肖默在一次飞行途中意外发现火情，间接造成了航空公司太子爷夏宇母亲过世。尽管公司最后判定肖默没有责任，但肖默还是因为内疚辞去飞行员职务，成为了一名维修师。两年后，肖默重回飞行队，在航校复训期间重遇已是飞行学员的夏宇，两人更意外都喜欢上了性格率真的女飞吴迪，三人陷入了情感纠葛。此时一份未完的调查报告突然出现，两年前未知的真相让众人对肖默怀疑再起，眼看肖默再次面临停飞，吴迪的心也开始渐渐向夏宇靠拢。此时的肖默不再退缩，用尽方法查出两年前事故的来龙去脉，肖默力证了自己的清白和作为一个飞行员的实力，再次重返蓝天。,https://images.tmdb.org/t/p/w342/zs9lAXkMXpWz8xp0WOvGixeQJRC.jpg,https://images.tmdb.org/t/p/w780/t9je3LHS9ZVBn99D1tAlLpKfoFT.jpg,陈乔恩;郑恺;朱梓骁;吕一;胡兵;赵子琪;吴建飞;许潇晗;刘卫华;于垚
一见不钟情,2014,,tv,8.5,2026-03-09,费洛洛是一名婚礼策划师，从小成长在幸福美满的家庭之中，从事的又是给人牵线搭桥的事业，费洛洛对于爱情抱有着天真而又浪漫的想法。陆哲希的爱情观和费洛洛恰恰相反，从小就见识过人情冷暖的他早就练就了一副钢铁心肠，因此，长大后，他成为了一位出色的“分手专 家”。就是这样两个性格迥异的人，他们相遇了，随着时间的推移，费洛洛从陆哲希的冷漠和封闭中看到了善良与渴望，陆哲希亦被费洛洛的乐观和开朗所打动，就在两人即将走到一起之时，陆哲希的前女友瑞芝突然现身，她的出现给费洛洛和陆哲希之间的感情带来了毁灭性的打击。,https://images.tmdb.org/t/p/w342/mxhSxRj3Wb3MYdeoRwK9WcObjDV.jpg,https://images.tmdb.org/t/p/w780/oezSznhLSfgX9kvU3prDiKbAVKO.jpg,杨丞琳;郑恺;杨壹童;张勋杰;纪宁;恬妞;邵雨薇;董可飞
升学宴上，我为儿子一局翻盘,2026,,short,7.5,2026-02-25,在江城赌坛曾被誉为“赌圣”的李玉梅，带着年幼的儿子赵钦锋隐姓埋名，躲进偏远农村靠卖菜为生。她将千术绝技深埋心底。为救独苗，隐退多年的赌圣李玉梅被迫重出江湖，踏上赌桌。然而在追查赌局黑手时，她竟发现十八年前丈夫的惨死，与今日的陷阱有着千丝万缕的联系！,https://p3-reading-sign.fqnovelpic.com/novel-pic/0a4db26d3f54b498764159074c31a25f~tplv-81nmtwyey9-superreso-aifit:1200:0.image?lk3s=253f70db&x-expires=1777259920&x-signature=DczvBAWOuimcpMcpOQlKH%2FsTGFE%3D,,武帅康
婆婆要我假离婚，我假戏真做,2026,,short,6.5,2026-02-25,沈青嫁入刘家，彩礼寒酸，受尽婆婆的轻蔑。可当小叔子订婚，婆婆豪掷千金，更当众羞辱沈青是小门小户。丈夫不仅不维护，反而动手家暴。彻底心死的沈青与闺蜜暗中布局，合演一场老家拆迁，每人可分八十万的大戏。贪心的婆家立刻变脸，主动补彩礼、迁孩子户口，更为了多分钱怂恿“假离婚”。沈青顺水推舟，将房产车子全部过户己有。离婚证到手，她立刻带儿子消失。这场精心设计的复仇，让贪婪者吞下自己种下的苦果。,https://p6-novel.byteimg.com/novel-pic/66f792b3f740c043989f7f29b5b5dad0~tplv-shrink:640:0.image,,刘皓圻
热血乒乓,2025,,short,8,2026/2/24,球王林峰统治乒坛十二年，却遭至亲背叛，身败名裂后被禁赛，他发誓不再碰乒乓球拍，隐姓埋名在白龙小学做数学老师。校长张玉兰为孩子们前途，申请到青训补助款，却被市重点小学抢夺。重点小学体育老师讽刺白龙小学异想天开。为拿回钱款和荣誉，张玉兰不自量力向乒乓强校求精小学发起决战。白龙小学陷入绝境，发誓不再碰乒乓的林峰被孩子们触动，终于重返赛场。他以绝对实力宣告王者归来，为白龙小学赢得荣誉。,https://p3-novel-sign.byteimg.com/novel-pic/9ae324b8f70365a44b68533754025b0c~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1779465543&x-signature=NldYDuWeIfTZRJEt8xttbbRj%2FAo%3D,,秦远
决战前,2012,,tv,8,2026/2/24,1939年，第一次长沙会战结束。日军利用汪伪政府源源不断的军需物资补充，准备开始第二次长沙会战，汪伪政府特派员唐宗年负责与日方谈判。军统上海站站长、少将冯楚良奉戴立命派刺客叶锦堂刺杀唐宗年。与此同时，上海地下党韩冬麟接获上级命令，证实唐宗年有意将汪伪政府的卖国行径诏告天下，必须倾全力保护唐宗年去香港。一场刺杀与反刺杀的活动展开，我中共地下党联合军中抗日爱国志士，联手破获日军重要情报，铲除了潜伏在军统组织里的日军间谍，确保了第二次长沙会战中国军队的胜利。,https://image.tmdb.org/t/p/w342/ofhGDHoH8a7m42whFSs2RIctc6z.jpg,,杨溢;张晨光;万茜;侯煜;吕凉;三浦研一
劫中劫,2014,,tv,8.5,2026/2/24,该剧讲述了抗日期间，爱国勇士和侵略者围绕一艘装载秘密武器的巨型海轮展开的一场斗智斗勇的生死较量。,https://image.tmdb.org/t/p/w342/v3bfVL2K22TXhTqBuh6bRkJoyBw.jpg,https://image.tmdb.org/t/p/w780/es3FfMvdh1NNR3Jq16USbct02Jn.jpg,郭晓东;杨溢;贾青;万梓良;吕凉;三浦研一;侯煜
